US Employability Rank 2026,Global Employability Rank 2026,Global Employability Rank 2025,Times Higher Ed University,State,Information,Institution,Short name
1,1,1,Massachusetts Institute of Technology,Massachusetts,https://www.timeshighereducation.com/world-university-rankings/massachusetts-institute-of-technology,Massachusetts Institute of Technology,MIT
2,2,3,Stanford University,California,https://www.timeshighereducation.com/world-university-rankings/stanford-university,Stanford University,Stanford
3,3,2,California Institute of Technology,California,https://www.timeshighereducation.com/world-university-rankings/california-institute-of-technology,California Institute of Technology,Caltech
4,6,16,"University of California, Berkeley",California,https://www.timeshighereducation.com/world-university-rankings/university-of-california-berkeley,University of California-Berkeley,UC Berkeley
5,7,4,Harvard University,Massachusetts,https://www.timeshighereducation.com/world-university-rankings/harvard-university,Harvard University,Harvard
6,14,6,Princeton University,New Jersey,https://www.timeshighereducation.com/world-university-rankings/princeton-university,Princeton University,Princeton
7,15,21,Carnegie Mellon University,Pennsylvania,https://www.timeshighereducation.com/world-university-rankings/carnegie-mellon-university,Carnegie Mellon University,CMU
8,18,15,Columbia University,New York,https://www.timeshighereducation.com/world-university-rankings/columbia-university,Columbia University,Columbia
9,22,12,Yale University,Connecticut,https://www.timeshighereducation.com/world-university-rankings/yale-university,Yale University,Yale
10,28,25,New York University,New York,https://www.timeshighereducation.com/world-university-rankings/new-york-university,New York University,NYU
11,29,40,The University of Chicago,Illinois,https://www.timeshighereducation.com/world-university-rankings/the-university-of-chicago,University of Chicago,UChicago
12,32,29,Duke University,North Carolina,https://www.timeshighereducation.com/world-university-rankings/duke-university,Duke University,Duke
13,34,34,Boston University,Massachusetts,https://www.timeshighereducation.com/world-university-rankings/boston-university,Boston University,BU
14,37,41,Arizona State University,Arizona,https://www.timeshighereducation.com/world-university-rankings/arizona-state-university,Arizona State University,ASU
15,48,54,Georgia Institute of Technology,Georgia,https://www.timeshighereducation.com/world-university-rankings/georgia-institute-of-technology,Georgia Institute of Technology,Georgia Tech
16,52,49,Johns Hopkins University,Maryland,https://www.timeshighereducation.com/world-university-rankings/johns-hopkins-university,Johns Hopkins University,JHU
17,53,52,Dartmouth College,New Hampshire,https://www.timeshighereducation.com/world-university-rankings/dartmouth-college,Dartmouth College,Dartmouth
18,64,117,University of Pennsylvania,Pennsylvania,https://www.timeshighereducation.com/world-university-rankings/university-of-pennsylvania,University of Pennsylvania,Penn
19,66,74,Cornell University,New York,https://www.timeshighereducation.com/world-university-rankings/cornell-university,Cornell University,Cornell
20,69,70,Brown University,Rhode Island,https://www.timeshighereducation.com/world-university-rankings/brown-university,Brown University,Brown
21,79,81,"University of California, Los Angeles",California,https://www.timeshighereducation.com/world-university-rankings/university-of-california-los-angeles,University of California-Los Angeles,UCLA
22,81,124,Northwestern University,Illinois,https://www.timeshighereducation.com/world-university-rankings/northwestern-university,Northwestern University,NU
23,91,76,Florida Institute of Technology,Florida,https://www.timeshighereducation.com/world-university-rankings/florida-institute-of-technology,Florida Institute of Technology,Florida Tech
24,93,116,University of Texas at Austin,Texas,https://www.timeshighereducation.com/world-university-rankings/university-of-texas-at-austin,University of Texas at Austin,UT Austin
25,95,115,Rice University,Texas,https://www.timeshighereducation.com/world-university-rankings/rice-university,Rice University,Rice
26,104,145,University of Michigan - Ann Arbor,Michigan,https://www.timeshighereducation.com/world-university-rankings/university-of-michigan-ann-arbor,University of Michigan - Ann Arbor,U-M
27,112,146,Northeastern University,Illinois,https://www.timeshighereducation.com/world-university-rankings/northeastern-university,Northeastern University,NEU
28,124,116,Texas A&M University,Texas,https://www.timeshighereducation.com/world-university-rankings/texas-a-m-university,University of Michigan - Ann Arbor,U-M
29,136,126,Tufts University,Massachusetts,https://www.timeshighereducation.com/world-university-rankings/tufts-university,Tufts University,Tufts
30,137,173,"University of California, San Diego",California,https://www.timeshighereducation.com/world-university-rankings/university-of-california-san-diego,University of California-San Diego,UC San Diego
31,143,129,Boston College,Massachusetts,https://www.timeshighereducation.com/world-university-rankings/boston-college,Boston College,BC
32,146,161,University of Southern California,California,https://www.timeshighereducation.com/world-university-rankings/university-of-southern-california,University of Southern California,USC
33,149,154,Babson College,Massachusetts,https://www.timeshighereducation.com/world-university-rankings/babson-college,Babson College,Babson
34,151,149,Michigan State University,Michigan,https://www.timeshighereducation.com/world-university-rankings/michigan-state-university,Michigan State University,MSU
35,152,164,Georgetown University,Washington DC,https://www.timeshighereducation.com/world-university-rankings/georgetown-university,Georgetown University,Georgetown
36,161,172,Emory University,Georgia,https://www.timeshighereducation.com/world-university-rankings/emory-university,Emory University,Emory
37,175,178,University of North Carolina at Chapel Hill,North Carolina,https://www.timeshighereducation.com/world-university-rankings/university-of-north-carolina-at-chapel-hill,University of North Carolina at Chapel Hill,UNC
38,177,182,University of Illinois at Urbana-Champaign,Illinois,https://www.timeshighereducation.com/world-university-rankings/university-of-illinois-at-urbana-champaign,University of Illinois at Urbana-Champaign,UIUC
39,179,175,Purdue University West Lafayette,Indiana,https://www.timeshighereducation.com/world-university-rankings/purdue-university,Purdue University,Purdue
40,180,183,University of Florida,Florida,https://www.timeshighereducation.com/world-university-rankings/university-of-florida,University of Florida,UF
41,183,156,"University of California, San Francisco",California,https://www.timeshighereducation.com/world-university-rankings/university-of-california-san-francisco,University of California-San Francisco,UCSF
42,185,203,Vanderbilt University,Tennessee,https://www.timeshighereducation.com/world-university-rankings/vanderbilt-university,Vanderbilt University,VU
43,187,187,Pennsylvania State University,Pennsylvania,https://www.timeshighereducation.com/world-university-rankings/penn-state-main-campus,Pennsylvania State University,Penn State
44,192,191,Case Western Reserve University,Ohio,https://www.timeshighereducation.com/world-university-rankings/case-western-reserve-university,Case Western Reserve University,CWRU
45,197,196,George Washington University,Washington DC,https://www.timeshighereducation.com/world-university-rankings/george-washington-university,George Washington University,GW
46,203,199,Rutgers University - New Brunswick,New Jersey,https://www.timeshighereducation.com/world-university-rankings/rutgers-university-new-brunswick,Rutgers University-New Brunswick,RU
47,214,NR,Washington University in Saint Louis,Louisiana,https://www.timeshighereducation.com/world-university-rankings/washington-university-in-saint-louis,Washington University in St. Louis,WUSTL
48,219,231,University of Washington,Washington,https://www.timeshighereducation.com/world-university-rankings/university-of-washington,University of Mary Washington,UMW
49,229,242,University of Notre Dame,Indiana,https://www.timeshighereducation.com/world-university-rankings/university-of-notre-dame,University of Notre Dame,ND
50,230,244,Rensselaer Polytechnic Institute,New Jersey,https://www.timeshighereducation.com/world-university-rankings/rensselaer-polytechnic-institute,Rensselaer Polytechnic Institute,RPI
51,235,227,Brandeis University,Massachusetts,https://www.timeshighereducation.com/world-university-rankings/brandeis-university,Brandeis University,Brandeis
52,247,NR,Virginia Polytechnic Institute and State University,Virginia,https://www.timeshighereducation.com/world-university-rankings/virginia-polytechnic-institute-and-state-university,Virginia Polytechnic Institute and State University,Virginia Tech
