,University Name,"City, State",Rank,Tuition and Fees,Undergrad enrollment
0,Princeton University,"Princeton, NJ",1,"$65,210","5,813"
1,Massachusetts Institute of Technology,"Cambridge, MA",2,"$64,730","4,535"
2,Harvard University,"Cambridge, MA",3,"$64,796","7,038"
3,Stanford University,"Stanford, CA",4,"$68,544","7,904"
4,Yale University,"New Haven, CT",4,"$69,900","6,814"
5,University of Chicago,"Chicago, IL",6,"$73,266","7,519"
6,Duke University,"Durham, NC",7,"$73,172","6,523"
7,Johns Hopkins University,"Baltimore, MD",7,"$67,170","6,356"
8,Northwestern University,"Evanston, IL",7,"$70,589","9,060"
9,University of Pennsylvania,"Philadelphia, PA",7,"$71,236","10,013"
10,California Institute of Technology,"Pasadena, CA",11,"$68,208",987
11,Cornell University,"Ithaca, NY",12,"$72,270","16,128"
12,Brown University,"Providence, RI",13,"$74,550","7,910"
13,Dartmouth College,"Hanover, NH",13,"$71,265","4,570"
14,Columbia University,"New York, NY",15,"$69,045","9,111"
15,"University of California, Berkeley","Berkeley, CA",15,"$55,323(out-of-state) / $17,721(in-state)","33,469"
16,Rice University,"Houston, TX",17,"$65,475","4,789"
17,"University of California, Los Angeles","Los Angeles, CA",17,"$48,674(out-of-state) / $14,824(in-state)","33,471"
18,Vanderbilt University,"Nashville, TN",17,"$71,226","7,221"
19,Carnegie Mellon University,"Pittsburgh, PA",20,"$68,096","7,824"
20,University of Michigan--Ann Arbor,"Ann Arbor, MI",20,"$66,203(out-of-state) / $19,497(in-state)","34,454"
21,University of Notre Dame,"Notre Dame, IN",20,"$67,607","8,880"
22,Washington University in St. Louis,"St. Louis, MO",20,"$69,594","8,220"
23,Emory University,"Atlanta, GA",24,"$68,056",N/A
24,Georgetown University,"Washington, DC",24,"$71,338","7,833"
25,University of North Carolina--Chapel Hill,"Chapel Hill, NC",26,"$45,228(out-of-state) / $9,096(in-state)","21,075"
26,University of Virginia,"Charlottesville, VA",26,"$62,923(out-of-state) / $23,897(in-state)","17,901"
27,University of Southern California,"Los Angeles, CA",28,"$75,162","20,630"
28,University of California San Diego,"La Jolla, CA",29,"$54,858(out-of-state) / $17,256(in-state)","34,955"
29,University of Florida,"Gainesville, FL",30,"$30,886(out-of-state) / $6,381(in-state)","36,573"
30,The University of Texas--Austin,"Austin, TX",30,"$44,908(out-of-state) / $11,687(in-state)","43,165"
31,Georgia Institute of Technology,"Atlanta, GA",32,"$35,092(out-of-state) / $12,008(in-state)","20,592"
32,New York University,"New York, NY",32,"$65,622","29,060"
33,"University of California, Davis","Davis, CA",32,"$50,324(out-of-state) / $16,474(in-state)","32,273"
34,"University of California, Irvine","Irvine, CA",32,"$49,193(out-of-state) / $15,343(in-state)","30,204"
35,Boston College,"Chestnut Hill, MA",36,"$73,508","9,654"
36,Tufts University,"Medford, MA",36,"$73,616","7,126"
37,University of Illinois Urbana-Champaign,"Champaign, IL",36,"$38,398(out-of-state) / $18,046(in-state)","37,140"
38,University of Wisconsin--Madison,"Madison, WI",36,"$44,191(out-of-state) / $12,166(in-state)","39,083"
39,"University of California, Santa Barbara","Santa Barbara, CA",40,"$49,885(out-of-state) / $16,035(in-state)","23,181"
40,The Ohio State University,"Columbus, OH",41,"$42,423(out-of-state) / $13,641(in-state)","46,815"
41,Boston University,"Boston, MA",42,"$71,372","18,805"
42,Rutgers University--New Brunswick,"Piscataway, NJ",42,"$39,652(out-of-state) / $18,827(in-state)","37,985"
43,"University of Maryland, College Park","College Park, MD",42,"$41,186(out-of-state) / $11,809(in-state)","31,133"
44,University of Washington,"Seattle, WA",42,"$44,640(out-of-state) / $13,406(in-state)","40,754"
45,Lehigh University,"Bethlehem, PA",46,"$67,920","5,911"
46,Northeastern University,"Boston, MA",46,"$69,289","17,432"
47,Purdue University--Main Campus,"West Lafayette, IN",46,"$28,794(out-of-state) / $9,992(in-state)","44,819"
48,University of Georgia,"Athens, GA",46,"$32,336(out-of-state) / $11,492(in-state)","32,399"
49,University of Rochester,"Rochester, NY",46,"$70,384","6,580"
50,Case Western Reserve University,"Cleveland, OH",51,"$69,280","6,528"
51,Florida State University,"Tallahassee, FL",51,"$21,683(out-of-state) / $6,517(in-state)","32,720"
52,Texas A&M University,"College Station, TX",51,"$40,157(out-of-state) / $12,928(in-state)","60,710"
53,Virginia Tech,"Blacksburg, VA",51,"$38,310(out-of-state) / $16,450(in-state)","31,035"
54,Wake Forest University,"Winston-Salem, NC",51,"$70,332","5,490"
55,William & Mary,"Williamsburg, VA",51,"$52,154(out-of-state) / $26,456(in-state)","7,063"
56,"University of California, Merced","Merced, CA",57,"$49,094(out-of-state) / $15,244(in-state)","8,372"
57,Villanova University,"Villanova, PA",57,"$70,826","7,009"
58,George Washington University,"Washington, DC",59,"$70,170","11,677"
59,The Pennsylvania State University--University Park,"University Park, PA",59,"$43,490(out-of-state) / $21,098(in-state)","42,619"
60,Santa Clara University,"Santa Clara, CA",59,"$63,514","6,577"
61,Stony Brook University--SUNY,"Stony Brook, NY",59,"$34,911(out-of-state) / $10,931(in-state)","18,263"
62,University of Minnesota--Twin Cities,"Minneapolis, MN",59,"$41,368(out-of-state) / $18,482(in-state)","41,303"
63,Michigan State University,"East Lansing, MI",64,"$46,094(out-of-state) / $19,742(in-state)","41,234"
64,North Carolina State University,"Raleigh, NC",64,"$33,993(out-of-state) / $9,028(in-state)","28,422"
65,Rensselaer Polytechnic Institute,"Troy, NY",64,"$66,024","5,743"
66,University of Massachusetts--Amherst,"Amherst, MA",64,"$41,759(out-of-state) / $18,487(in-state)","23,920"
67,University of Miami,"Coral Gables, FL",64,"$65,430","13,250"
68,Brandeis University,"Waltham, MA",69,"$70,957","3,632"
69,Tulane University of Louisiana,"New Orleans, LA",69,"$71,997","7,283"
70,University of Connecticut,"Storrs, CT",69,"$44,004(out-of-state) / $21,336(in-state)","20,056"
71,University of Pittsburgh,"Pittsburgh, PA",69,"$43,432(out-of-state) / $22,736(in-state)","20,418"
72,Binghamton University--SUNY,"Binghamton, NY",73,"$30,447(out-of-state) / $10,567(in-state)","14,668"
73,LEARNMORE,"Bloomington, IN",73,"$42,295(out-of-state) / $12,144(in-state)","38,093"
74,Clemson University,"Clemson, SC",75,"$40,866(out-of-state) / $15,554(in-state)","23,401"
75,Rutgers University--Newark,"Newark, NJ",75,"$38,937(out-of-state) / $18,112(in-state)","7,989"
76,Syracuse University,"Syracuse, NY",75,"$68,429","15,957"
77,University at Buffalo--SUNY,"Buffalo, NY",75,"$32,366(out-of-state) / $10,936(in-state)","20,360"
78,"University of California, Riverside","Riverside, CA",75,"$52,703(out-of-state) / $15,101(in-state)","22,599"
79,Colorado School of Mines,"Golden, CO",80,"$46,906(out-of-state) / $22,426(in-state)","6,195"
80,Drexel University,"Philadelphia, PA",80,"$64,212","11,757"
81,New Jersey Institute of Technology,"Newark, NJ",80,"$39,912(out-of-state) / $21,162(in-state)","10,200"
82,Stevens Institute of Technology,"Hoboken, NJ",80,"$65,606","4,204"
83,Pepperdine University,"Malibu, CA",84,"$72,672","3,553"
84,University of Illinois Chicago,"Chicago, IL",84,"$33,726(out-of-state) / $18,180(in-state)","22,495"
85,Worcester Polytechnic Institute,"Worcester, MA",84,"$63,046","5,558"
86,Yeshiva University,"New York, NY",84,"$53,150","2,331"
87,American University,"Washington, DC",88,"$61,992","7,476"
88,Baylor University,"Waco, TX",88,N/A,N/A
89,Howard University,"Washington, DC",88,"$38,936","11,519"
90,Marquette University,"Milwaukee, WI",88,"$53,270","8,045"
91,Rochester Institute of Technology,"Rochester, NY",88,"$61,804","14,267"
92,Southern Methodist University,"Dallas, TX",88,"$69,722","7,285"
93,"University of California, Santa Cruz","Santa Cruz, CA",88,"$54,105(out-of-state) / $16,503(in-state)","17,940"
94,University of Delaware,"Newark, DE",88,"$43,220(out-of-state) / $17,660(in-state)","19,287"
95,University of South Florida,"Tampa, FL",88,"$17,324(out-of-state) / $6,410(in-state)","38,525"
96,Florida International University,"Miami, FL",97,"$18,964(out-of-state) / $6,566(in-state)","44,904"
97,Fordham University,"New York, NY",97,"$67,452","10,582"
98,Rutgers University--Camden,"Camden, NJ",97,"$39,476(out-of-state) / $18,651(in-state)","3,857"
99,Texas Christian University,"Fort Worth, TX",97,"$63,590","11,049"
100,University of Colorado Boulder,"Boulder, CO",97,"$44,748(out-of-state) / $14,606(in-state)","33,384"
101,Auburn University,"Auburn, AL",102,"$36,022(out-of-state) / $13,318(in-state)","27,907"
102,Gonzaga University,"Spokane, WA",102,"$57,250","5,281"
103,Loyola Marymount University,"Los Angeles, CA",102,"$65,367","7,273"
104,Saint Louis University,"St. Louis, MO",102,"$57,960","10,436"
105,Temple University,"Philadelphia, PA",102,"$40,144(out-of-state) / $23,723(in-state)","21,428"
106,University of Iowa,"Iowa City, IA",102,"$33,710(out-of-state) / $11,622(in-state)","22,738"
107,University of Missouri,"Columbia, MO",102,"$37,820(out-of-state) / $15,548(in-state)","24,449"
108,University of Tennessee--Knoxville,"Knoxville, TN",102,"$32,956(out-of-state) / $13,812(in-state)","30,564"
109,Brigham Young University,"Provo, UT",110,"$6,888","32,952"
110,Chapman University,"Orange, CA",110,"$67,894","7,713"
111,The University of Oklahoma,"Norman, OK",110,"$27,467(out-of-state) / $9,887(in-state)","23,351"
112,University of Oregon,"Eugene, OR",110,"$43,919(out-of-state) / $15,904(in-state)","20,622"
113,University of San Diego,"San Diego, CA",110,"$62,420","5,851"
114,University of San Francisco,"San Francisco, CA",110,"$62,312","5,321"
115,The University of Texas--Dallas,"Richardson, TX",110,"$40,164(out-of-state) / $14,664(in-state)","21,858"
116,Arizona State University,"Tempe, AZ",117,"$35,167(out-of-state) / $12,975(in-state)","65,450"
117,Creighton University,"Omaha, NE",117,"$50,960","4,647"
118,Elon University,"Elon, NC",117,"$48,723","6,452"
119,George Mason University,"Fairfax, VA",117,"$39,212(out-of-state) / $14,316(in-state)","28,331"
120,Illinois Institute of Technology,"Chicago, IL",117,"$53,398","3,135"
121,Iowa State University of Science and Technology,"Ames, IA",117,"$30,140(out-of-state) / $11,092(in-state)","25,628"
122,San Diego State University,"San Diego, CA",117,"$22,500(out-of-state) / $9,180(in-state)","34,637"
123,University of Central Florida,"Orlando, FL",117,"$24,076(out-of-state) / $6,368(in-state)","59,649"
124,University of Denver,"Denver, CO",117,"$63,246","6,619"
125,University of New Hampshire,"Durham, NH",117,"$40,844(out-of-state) / $19,682(in-state)","11,365"
126,"California State University, Long Beach","Long Beach, CA",127,"$19,856(out-of-state) / $8,312(in-state)","35,843"
127,University at Albany--SUNY,"Albany, NY",127,"$31,826(out-of-state) / $10,616(in-state)","12,666"
128,University of Arizona,"Tucson, AZ",127,"$39,903(out-of-state) / $13,573(in-state)","45,025"
129,University of Maryland Baltimore County,"Baltimore, MD",127,"$31,225(out-of-state) / $13,539(in-state)","10,767"
130,University of South Carolina,"Columbia, SC",127,"$37,376(out-of-state) / $12,688(in-state)","30,187"
131,Clark University,"Worcester, MA",132,"$60,740","2,266"
132,CUNY--City College,"New York, NY",132,"$19,010(out-of-state) / $7,340(in-state)","12,982"
133,Loyola University Chicago,"Chicago, IL",132,"$56,060","12,538"
134,Thomas Jefferson University,"Philadelphia, PA",132,"$49,450","3,772"
135,University of Alabama at Birmingham,"Birmingham, AL",132,"$29,480(out-of-state) / $12,140(in-state)","11,959"
136,University of Houston,"Houston, TX",132,"$27,776(out-of-state) / $11,888(in-state)","39,257"
