US Employability Rank 2026,Global Employability Rank 2026,Global Employability Rank 2025,Times Higher Ed University,State,Information
1,1,1,Massachusetts Institute of Technology,Massachusetts,https://www.timeshighereducation.com/world-university-rankings/massachusetts-institute-of-technology
2,2,3,Stanford University,California,https://www.timeshighereducation.com/world-university-rankings/stanford-university
3,3,2,California Institute of Technology,California,https://www.timeshighereducation.com/world-university-rankings/california-institute-of-technology
4,6,16,"University of California, Berkeley",California,https://www.timeshighereducation.com/world-university-rankings/university-of-california-berkeley
5,7,4,Harvard University,Massachusetts,https://www.timeshighereducation.com/world-university-rankings/harvard-university
6,14,6,Princeton University,New Jersey,https://www.timeshighereducation.com/world-university-rankings/princeton-university
7,15,21,Carnegie Mellon University,Pennsylvania,https://www.timeshighereducation.com/world-university-rankings/carnegie-mellon-university
8,18,15,Columbia University,New York,https://www.timeshighereducation.com/world-university-rankings/columbia-university
9,22,12,Yale University,Connecticut,https://www.timeshighereducation.com/world-university-rankings/yale-university
10,28,25,New York University,New York,https://www.timeshighereducation.com/world-university-rankings/new-york-university
11,29,40,The University of Chicago,Illinois,https://www.timeshighereducation.com/world-university-rankings/the-university-of-chicago
12,32,29,Duke University,North Carolina,https://www.timeshighereducation.com/world-university-rankings/duke-university
13,34,34,Boston University,Massachusetts,https://www.timeshighereducation.com/world-university-rankings/boston-university
14,37,41,Arizona State University,Arizona,https://www.timeshighereducation.com/world-university-rankings/arizona-state-university
15,48,54,Georgia Institute of Technology,Georgia,https://www.timeshighereducation.com/world-university-rankings/georgia-institute-of-technology
16,52,49,Johns Hopkins University,Maryland,https://www.timeshighereducation.com/world-university-rankings/johns-hopkins-university
17,53,52,Dartmouth College,New Hampshire,https://www.timeshighereducation.com/world-university-rankings/dartmouth-college
18,64,117,University of Pennsylvania,Pennsylvania,https://www.timeshighereducation.com/world-university-rankings/university-of-pennsylvania
19,66,74,Cornell University,New York,https://www.timeshighereducation.com/world-university-rankings/cornell-university
20,69,70,Brown University,Rhode Island,https://www.timeshighereducation.com/world-university-rankings/brown-university
21,79,81,"University of California, Los Angeles",California,https://www.timeshighereducation.com/world-university-rankings/university-of-california-los-angeles
22,81,124,Northwestern University,Illinois,https://www.timeshighereducation.com/world-university-rankings/northwestern-university
23,91,76,Florida Institute of Technology,Florida,https://www.timeshighereducation.com/world-university-rankings/florida-institute-of-technology
24,93,116,University of Texas at Austin,Texas,https://www.timeshighereducation.com/world-university-rankings/university-of-texas-at-austin
25,95,115,Rice University,Texas,https://www.timeshighereducation.com/world-university-rankings/rice-university
26,104,145,University of Michigan - Ann Arbor,Michigan,https://www.timeshighereducation.com/world-university-rankings/university-of-michigan-ann-arbor
27,112,146,Northeastern University,Illinois,https://www.timeshighereducation.com/world-university-rankings/northeastern-university
28,124,116,Texas A&M University,Texas,https://www.timeshighereducation.com/world-university-rankings/texas-a-m-university
29,136,126,Tufts University,Massachusetts,https://www.timeshighereducation.com/world-university-rankings/tufts-university
30,137,173,"University of California, San Diego",California,https://www.timeshighereducation.com/world-university-rankings/university-of-california-san-diego
31,143,129,Boston College,Massachusetts,https://www.timeshighereducation.com/world-university-rankings/boston-college
32,146,161,University of Southern California,California,https://www.timeshighereducation.com/world-university-rankings/university-of-southern-california
33,149,154,Babson College,Massachusetts,https://www.timeshighereducation.com/world-university-rankings/babson-college
34,151,149,Michigan State University,Michigan,https://www.timeshighereducation.com/world-university-rankings/michigan-state-university
35,152,164,Georgetown University,Washington DC,https://www.timeshighereducation.com/world-university-rankings/georgetown-university
36,161,172,Emory University,Georgia,https://www.timeshighereducation.com/world-university-rankings/emory-university
37,175,178,University of North Carolina at Chapel Hill,North Carolina,https://www.timeshighereducation.com/world-university-rankings/university-of-north-carolina-at-chapel-hill
38,177,182,University of Illinois at Urbana-Champaign,Illinois,https://www.timeshighereducation.com/world-university-rankings/university-of-illinois-at-urbana-champaign
39,179,175,Purdue University West Lafayette,Indiana,https://www.timeshighereducation.com/world-university-rankings/purdue-university
40,180,183,University of Florida,Florida,https://www.timeshighereducation.com/world-university-rankings/university-of-florida
41,183,156,"University of California, San Francisco",California,https://www.timeshighereducation.com/world-university-rankings/university-of-california-san-francisco
42,185,203,Vanderbilt University,Tennessee,https://www.timeshighereducation.com/world-university-rankings/vanderbilt-university
43,187,187,Pennsylvania State University,Pennsylvania,https://www.timeshighereducation.com/world-university-rankings/penn-state-main-campus
44,192,191,Case Western Reserve University,Ohio,https://www.timeshighereducation.com/world-university-rankings/case-western-reserve-university
45,197,196,George Washington University,Washington DC,https://www.timeshighereducation.com/world-university-rankings/george-washington-university
46,203,199,Rutgers University - New Brunswick,New Jersey,https://www.timeshighereducation.com/world-university-rankings/rutgers-university-new-brunswick
47,214,NR,Washington University in Saint Louis,Louisiana,https://www.timeshighereducation.com/world-university-rankings/washington-university-in-saint-louis
48,219,231,University of Washington,Washington,https://www.timeshighereducation.com/world-university-rankings/university-of-washington
49,229,242,University of Notre Dame,Indiana,https://www.timeshighereducation.com/world-university-rankings/university-of-notre-dame
50,230,244,Rensselaer Polytechnic Institute,New Jersey,https://www.timeshighereducation.com/world-university-rankings/rensselaer-polytechnic-institute
51,235,227,Brandeis University,Massachusetts,https://www.timeshighereducation.com/world-university-rankings/brandeis-university
52,247,NR,Virginia Polytechnic Institute and State University,Virginia,https://www.timeshighereducation.com/world-university-rankings/virginia-polytechnic-institute-and-state-university
