Position,Institution,Country/territory,Count,Share
1,"Chinese Academy of Sciences (CAS)",China,10824,3106.8738699748
2,"Harvard University","United States of America (USA)",3835,1119.71648974
3,"University of Science and Technology of China (USTC)",China,3108,973.53315246936
4,"Zhejiang University (ZJU)",China,2465,965.83162363268
5,"Peking University (PKU)",China,3561,893.5769711783
6,"University of Chinese Academy of Sciences (UCAS)",China,4404,887.51663306052
7,"Tsinghua University",China,2996,865.97130013258
8,"Shanghai Jiao Tong University (SJTU)",China,2376,838.94308553242
9,"Nanjing University (NJU)",China,2166,830.07483964005
10,"Fudan University",China,2126,754.73970372501
11,"Max Planck Society",Germany,2976,740.16752343938
12,"Sichuan University (SCU)",China,1357,722.84557637105
13,"Sun Yat-sen University (SYSU)",China,1775,683.94869661392
14,"French National Centre for Scientific Research (CNRS)",France,4805,667.17339659094
15,"Stanford University","United States of America (USA)",2032,602.57157887922
16,"Helmholtz Association of German Research Centres",Germany,3030,597.24032065
17,"Massachusetts Institute of Technology (MIT)","United States of America (USA)",2168,518.70348931212
18,"Jilin University (JLU)",China,1052,516.50158705433
19,"Huazhong University of Science and Technology (HUST)",China,1103,493.70148795385
20,"Nankai University (NKU)",China,1307,487.47655462152
21,"Shandong University (SDU)",China,1402,462.54056297636
22,"Wuhan University (WHU)",China,1040,457.37341998102
23,"The University of Tokyo (UTokyo)",Japan,1328,450.75376072649
24,"Southern University of Science and Technology (SUSTech)",China,1207,443.90376492401
25,"University of Oxford","United Kingdom (UK)",1790,443.16579704043
26,"Soochow University",China,967,433.23916533847
27,"Xiamen University (XMU)",China,942,429.73885891023
28,"National Institutes of Health (NIH)","United States of America (USA)",1206,422.26074087749
29,"University of Cambridge","United Kingdom (UK)",1529,401.75795752174
30,"Xi'an Jiaotong University (XJTU)",China,895,389.92567302143
31,"Tongji University",China,1046,378.28100155335
32,"Central South University (CSU)",China,857,377.75330465243
33,"University of Toronto (U of T)",Canada,1253,375.62087000814
34,"Swiss Federal Institute of Technology Zurich (ETH Zurich)",Switzerland,1115,373.82857165097
35,"University of Michigan (U-M)","United States of America (USA)",1384,373.23588011236
36,"South China University of Technology (SCUT)",China,812,371.39285312317
37,"Tianjin University (TJU)",China,1194,369.48396946363
38,"Yale University","United States of America (USA)",1321,368.0495262149
39,"University of California, San Diego (UC San Diego)","United States of America (USA)",1178,367.83618157061
40,"University of Pennsylvania (Penn)","United States of America (USA)",1248,363.71541087112
41,"University of California, Berkeley (UC Berkeley)","United States of America (USA)",1447,363.16938716861
42,"University of California, Los Angeles (UCLA)","United States of America (USA)",1326,362.73644796726
43,"Cornell University","United States of America (USA)",1224,342.04934472126
